#1
#	time	volume.medium.T	volume.medium.p	der(volume.medium.T)	der(volume.medium.p)	der(volume.U)	der(volume.m)	der(volume.medium.d)	der(volume.medium.u)	der(volume.ports[5].h_outflow)	boundary.medium.MM	boundary.medium.R_s	boundary.medium.T_degC	boundary.medium.X[1]	boundary.medium.d	boundary.medium.p_bar	boundary.medium.u	boundary1.medium.MM	boundary1.medium.R_s	boundary1.medium.T_degC	boundary1.medium.X[1]	boundary1.medium.d	boundary1.medium.p_bar	boundary1.medium.u	boundary11.medium.MM	boundary11.medium.R_s	boundary11.medium.T_degC	boundary11.medium.X[1]	boundary11.medium.d	boundary11.medium.p_bar	boundary11.medium.u	m_flow_orifice1.m_flow_dat	m_flow_orifice1.port_a.m_flow	m_flow_orifice1.port_b.m_flow	m_flow_par_test.port_a.m_flow	m_flow_par_test.port_b.m_flow	orifice.A_mean	orifice.F_p	orifice.I	orifice.Ib_flow	orifice.V_flow	orifice.d	orifice.dp	orifice.dp_fg	orifice.m_flow	orifice.pathLength	orifice.port_a_T	orifice.port_b_T	orifice1.A_mean	orifice1.F_p	orifice1.I	orifice1.Ib_flow	orifice1.V_flow	orifice1.d	orifice1.dp	orifice1.dp_fg	orifice1.pathLength	orifice1.port_a_T	orifice1.port_b_T	orifice2.A_mean	orifice2.F_p	orifice2.I	orifice2.Ib_flow	orifice2.V_flow	orifice2.d	orifice2.dp	orifice2.dp_fg	orifice2.m_flow	orifice2.pathLength	orifice2.port_a_T	orifice2.port_b_T	volume.Hb_flow	volume.U	volume.Wb_flow	volume.heatTransfer.heatPorts[1].Q_flow	volume.heatTransfer.surfaceAreas[1]	volume.m	volume.m_flow_turbulent[1]	volume.m_flow_turbulent[2]	volume.m_flow_turbulent[3]	volume.m_flow_turbulent[4]	volume.m_flow_turbulent[5]	volume.mb_flow	volume.medium.MM	volume.medium.R_s	volume.medium.T_degC	volume.medium.X[1]	volume.medium.d	volume.medium.p_bar	volume.medium.u	volume.portAreas[1]	volume.portAreas[2]	volume.portAreas[3]	volume.portAreas[4]	volume.portAreas[5]	volume.portInDensities[1]	volume.portInDensities[2]	volume.portInDensities[3]	volume.portInDensities[4]	volume.portInDensities[5]	volume.portVelocities[1]	volume.portVelocities[2]	volume.portVelocities[3]	volume.portVelocities[4]	volume.portVelocities[5]	volume.ports[5].h_outflow	volume.ports[4].m_flow	volume.ports[5].m_flow	volume.ports_E_flow[1]	volume.ports_E_flow[2]	volume.ports_E_flow[3]	volume.ports_E_flow[4]	volume.ports_E_flow[5]	volume.ports_H_flow[1]	volume.ports_H_flow[2]	volume.ports_H_flow[3]	volume.ports_H_flow[4]	volume.ports_H_flow[5]	volume.ports_penetration[1]	volume.ports_penetration[2]	volume.ports_penetration[3]	volume.ports_penetration[4]	volume.ports_penetration[5]	volume.s[1]	volume.s[2]	volume.s[3]	volume.s[4]	volume.s[5]	boundary.ports[1].m_flow	boundary1.ports[1].m_flow	boundary1.ports[2].m_flow	boundary1.ports[3].m_flow	boundary11.ports[1].m_flow	m_flow_orifice1.port_a.p	m_flow_orifice1.port_b.h_outflow	m_flow_par_test.port_a.p	m_flow_par_test.port_b.h_outflow	orifice.F_fg	orifice.port_a.h_outflow	orifice.port_a.m_flow	orifice.port_b.m_flow	orifice.port_b.p	orifice1.F_fg	orifice1.m_flow	orifice1.port_a.m_flow	orifice1.port_a.p	orifice1.port_b.h_outflow	orifice1.port_b.m_flow	orifice2.F_fg	orifice2.port_a.m_flow	orifice2.port_a.p	orifice2.port_b.h_outflow	orifice2.port_b.m_flow	volume.Qb_flow	volume.heatTransfer.Q_flows[1]	volume.heatTransfer.Ts[1]	volume.heatTransfer.heatPorts[1].T	volume.heatTransfer.states[1].T	volume.heatTransfer.states[1].p	volume.medium.h	volume.medium.state.T	volume.medium.state.p	volume.ports[1].h_outflow	volume.ports[2].h_outflow	volume.ports[3].h_outflow	volume.ports[4].h_outflow	volume.ports[1].m_flow	volume.ports[2].m_flow	volume.ports[3].m_flow	volume.ports[1].p	volume.ports[2].p	volume.ports[3].p	volume.ports[4].p	volume.ports[5].p	volume.vessel_ps_static[1]	volume.vessel_ps_static[2]	volume.vessel_ps_static[3]	volume.vessel_ps_static[4]	volume.vessel_ps_static[5]
	double table01(102,179)																																																																																																																																																																																		
	0	288.15	100000	5209.93346505925	6325674.59003858	15760.6520729508	0.0546173799569415	54.6173799569415	3736688.70829739	5232206.49136616	0.0289651159	287.051224952979	15	1	2.41797589620241	2	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0	0	0	0	0	7.85398163397448E-05	-7.85398163397448	0	0	0.022588058070687	1.81348192215181	100000	100000	0.0546173799569415	0	288.15	288.15	7.85398163397448E-05	0	0	0	0	1.2089879481012	0	0	0	288.15	288.15	1.96349540849362E-05	0	0	0	0	1.2089879481012	0	0	0	0	288.15	288.15	15760.6520729508	248.871337757974	0	0	0.0483597586204941	0.0012089879481012	1E+060	1E+060	1E+060	1E+060	1E+060	0.0546173799569415	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0	0	0	0	0	1.2089879481012	1.2089879481012	1.2089879481012	1.2089879481012	1.2089879481012	0	0	0	0	0	288564.777097985	0	0	0	0	0	0	0	15760.6520729508	0	0	0	0	1	1	1	1	1	0	0	0	0	0	-0.0546173799569415	0	0	0	0	100000	288564.777097985	100000	288564.777097985	7.85398163397448	288564.777097985	0.0546173799569415	-0.0546173799569415	100000	0	0	0	100000	288564.777097985	0	0	0	100000	288564.777097985	0	0	0	288.15	288.15	288.15	100000	288564.777097985	288.15	100000	288564.777097985	288564.777097985	288564.777097985	288564.777097985	0.0546173799569415	0	0	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
	0.1	291.843118389705	146272.82638708	-80.4604612895555	7383.41045329842	17.9607827172868	0.000569514736819224	0.569514736819224	-57720.8582820734	-80817.1322555218	0.0289651159	287.051224952979	15	1	2.41797589620241	2	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0315715052661543	0	0	0	0	7.85398163397448E-05	-4.21972234801229	0	0	0.016556780562779	2.08200915987354	53727.1736129196	53727.1736129196	0.0400338963195121	0	288.15	288.15	7.85398163397448E-05	-3.63425928596219	0	0	0.0180817515315925	1.47751518582294	46272.8263870804	46272.8263870804	0	291.843118389705	291.843118389705	1.96349540849362E-05	-0.908564821490548	0	0	0.00456390021799697	1.47751518582294	46272.8263870804	46272.8263870804	0.00789287631653857	0	291.728776175836	291.728776175836	17.9607827172868	364.049929234623	0	0	0.0483597586204941	0.00174604242354467	1E+060	1E+060	1E+060	1E+060	1E+060	0.000569514736819224	0.0289651159	287.051224952979	18.6931183897049	1	1.74604242354467	1.4627282638708	208500.048066163	0	0	0	0	0	1.7684208423668	1.7684208423668	1.7684208423668	1.74604242354467	1.74604242354467	0	0	0	0	0	292273.972694025	0	0	0	0	0	0	0	11552.3723678038	-9227.52926806924	-2306.88231701731	0	0	1	1	1	1	1	0	0	0	0	0	-0.0400338963195121	0.0315715052661543	0	0	0.00789287631653857	146272.82638708	292273.972694025	146272.82638708	292273.972694025	4.21972234801229	292273.972694025	0.0400338963195121	-0.0400338963195121	146272.82638708	3.63425928596219	0.0315715052661543	0.0315715052661543	146272.82638708	292273.972694025	-0.0315715052661543	0.908564821490548	0.00789287631653857	146272.82638708	292273.972694025	-0.00789287631653857	0	0	291.843118389705	291.843118389705	291.843118389705	146272.82638708	292273.972694025	291.843118389705	146272.82638708	292273.972694025	292273.972694025	292273.972694025	292273.972694025	0.0400338963195121	-0.0315715052661543	-0.00789287631653857	146272.82638708	146272.82638708	146272.82638708	146272.82638708	146272.82638708	146272.82638708	146272.82638708	146272.82638708	146272.82638708	146272.82638708
	0.2	288.577317164913	146572.060797863	-9.16739829614437	841.984729273652	2.04925318474852	6.63744102596953E-05	0.0663744102596953	-6575.24040588607	-9206.75331642616	0.0289651159	287.051224952979	15	1	2.41797589620241	2	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0318847052095082	0	0	0	0	7.85398163397448E-05	-4.19622053234691	0	0	0.0165106095494358	2.09369523087373	53427.9392021372	53427.9392021372	0.039922255922145	0	288.15	288.15	7.85398163397448E-05	-3.65776110162757	0	0	0.0180199179041382	1.48920125682313	46572.0607978628	46572.0607978628	0	288.577317164913	288.577317164913	1.96349540849362E-05	-0.914440275406893	0	0	0.00454642701387505	1.48920125682313	46572.0607978628	46572.0607978628	0.00797117630237706	0	288.565017601508	288.565017601508	2.04925318474852	364.777999263961	0	0	0.0483597586204941	0.00176941456554506	1E+060	1E+060	1E+060	1E+060	1E+060	6.63744102596953E-05	0.0289651159	287.051224952979	15.4273171649126	1	1.76941456554506	1.46572060797863	206157.452508363	0	0	0	0	0	1.77203855032973	1.77203855032973	1.77203855032973	1.76941456554506	1.76941456554506	0	0	0	0	0	288993.924894196	0	0	0	0	0	0	0	11520.1568814225	-9214.48610259019	-2303.62152564755	0	0	1	1	1	1	1	0	0	0	0	0	-0.039922255922145	0.0318847052095082	0	0	0.00797117630237706	146572.060797863	288993.924894196	146572.060797863	288993.924894196	4.19622053234691	288993.924894196	0.039922255922145	-0.039922255922145	146572.060797863	3.65776110162757	0.0318847052095082	0.0318847052095082	146572.060797863	288993.924894196	-0.0318847052095082	0.914440275406893	0.00797117630237706	146572.060797863	288993.924894196	-0.00797117630237706	0	0	288.577317164913	288.577317164913	288.577317164913	146572.060797863	288993.924894196	288.577317164913	146572.060797863	288993.924894196	288993.924894196	288993.924894196	288993.924894196	0.039922255922145	-0.0318847052095082	-0.00797117630237706	146572.060797863	146572.060797863	146572.060797863	146572.060797863	146572.060797863	146572.060797863	146572.060797863	146572.060797863	146572.060797863	146572.060797863
	0.3	288.200408153585	146606.69750825	-1.07945803665541	99.2166202909584	0.241494341047655	7.83690580653806E-06	0.00783690580653806	-774.215347729329	-1084.0750994366	0.0289651159	287.051224952979	15	1	2.41797589620241	2	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0319211810813635	0	0	0	0	7.85398163397448E-05	-4.19350017147453	0	0	0.0165052568638882	2.09506159285259	53393.3024917505	53393.3024917505	0.039909313257511	0	288.15	288.15	7.85398163397448E-05	-3.66048146249996	0	0	0.0180127133170291	1.49056761880199	46606.6975082495	46606.6975082495	0	288.200408153585	288.200408153585	1.96349540849362E-05	-0.915120365624989	0	0	0.00454438568314093	1.49056761880199	46606.6975082495	46606.6975082495	0.00798029527034088	0	288.198969789414	288.198969789414	0.241494341047655	364.862302736547	0	0	0.0483597586204941	0.00177214728950277	1E+060	1E+060	1E+060	1E+060	1E+060	7.83690580653806E-06	0.0289651159	287.051224952979	15.0504081535855	1	1.77214728950277	1.4660669750825	205887.120612261	0	0	0	0	0	1.77245730398393	1.77245730398393	1.77245730398393	1.77214728950277	1.77214728950277	0	0	0	0	0	288615.400804696	0	0	0	0	0	0	0	11516.4220842873	-9212.94447195701	-2303.23611798925	0	0	1	1	1	1	1	0	0	0	0	0	-0.039909313257511	0.0319211810813635	0	0	0.00798029527034088	146606.69750825	288615.400804696	146606.69750825	288615.400804696	4.19350017147453	288615.400804696	0.039909313257511	-0.039909313257511	146606.69750825	3.66048146249996	0.0319211810813635	0.0319211810813635	146606.69750825	288615.400804696	-0.0319211810813635	0.915120365624989	0.00798029527034088	146606.69750825	288615.400804696	-0.00798029527034088	0	0	288.200408153585	288.200408153585	288.200408153585	146606.69750825	288615.400804696	288.200408153585	146606.69750825	288615.400804696	288615.400804696	288615.400804696	288615.400804696	0.039909313257511	-0.0319211810813635	-0.00798029527034088	146606.69750825	146606.69750825	146606.69750825	146606.69750825	146606.69750825	146606.69750825	146606.69750825	146606.69750825	146606.69750825	146606.69750825
	0.4	288.156150208067	146610.767845046	-0.131749540747548	11.9702173942966	0.0291282084990598	9.5511605904819E-07	0.000955116059048189	-94.4939508512389	-132.312817909815	0.0289651159	287.051224952979	15	1	2.41797589620241	2	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0319254695257514	0	0	0	0	7.85398163397448E-05	-4.19318048797011	0	0	0.0165046277284758	2.0952222894496	53389.2321549543	53389.2321549543	0.0399077920232483	0	288.15	288.15	7.85398163397448E-05	-3.66080114600437	0	0	0.0180118666340425	1.49072831539899	46610.7678450457	46610.7678450457	0	288.156150208067	288.156150208067	1.96349540849362E-05	-0.915200286501093	0	0	0.00454414570301199	1.49072831539899	46610.7678450457	46610.7678450457	0.00798136738143786	0	288.155974895389	288.155974895389	0.0291282084990598	364.872210146262	0	0	0.0483597586204941	0.00177246868269679	1E+060	1E+060	1E+060	1E+060	1E+060	9.5511605904819E-07	0.0289651159	287.051224952979	15.0061502080666	1	1.77246868269679	1.46610767845046	205855.37770468	0	0	0	0	0	1.77250651386524	1.77250651386524	1.77250651386524	1.77246868269679	1.77246868269679	0	0	0	0	0	288570.95359964	0	0	0	0	0	0	0	11515.9831096614	-9212.76318516232	-2303.19079629058	0	0	1	1	1	1	1	0	0	0	0	0	-0.0399077920232483	0.0319254695257514	0	0	0.00798136738143786	146610.767845046	288570.95359964	146610.767845046	288570.95359964	4.19318048797011	288570.95359964	0.0399077920232483	-0.0399077920232483	146610.767845046	3.66080114600437	0.0319254695257514	0.0319254695257514	146610.767845046	288570.95359964	-0.0319254695257514	0.915200286501093	0.00798136738143786	146610.767845046	288570.95359964	-0.00798136738143786	0	0	288.156150208067	288.156150208067	288.156150208067	146610.767845046	288570.95359964	288.156150208067	146610.767845046	288570.95359964	288570.95359964	288570.95359964	288570.95359964	0.0399077920232483	-0.0319254695257514	-0.00798136738143786	146610.767845046	146610.767845046	146610.767845046	146610.767845046	146610.767845046	146610.767845046	146610.767845046	146610.767845046	146610.767845046	146610.767845046
	0.5	288.150749751551	146611.263322286	-0.0160611142239687	1.45854688499456	0.00354917768072482	1.1643068685563E-07	0.000116430686855629	-11.5194152045644	-16.1297777166643	0.0289651159	287.051224952979	15	1	2.41797589620241	2	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0319259923284571	0	0	0	0	7.85398163397448E-05	-4.1931415732787	0	0	0.0165045511429356	2.09524189417648	53388.7366777145	53388.7366777145	0.0399076068412583	0	288.15	288.15	7.85398163397448E-05	-3.66084006069579	0	0	0.0180117631463531	1.49074792012587	46611.2633222855	46611.2633222855	0	288.150749751551	288.150749751551	1.96349540849362E-05	-0.915210015173947	0	0	0.00454411637961955	1.49074792012587	46611.2633222855	46611.2633222855	0.00798149808211428	0	288.150728382429	288.150728382429	0.00354917768072482	364.873416102481	0	0	0.0483597586204941	0.00177250789215054	1E+060	1E+060	1E+060	1E+060	1E+060	1.1643068685563E-07	0.0289651159	287.051224952979	15.000749751551	1	1.77250789215054	1.46611263322286	205851.504367514	0	0	0	0	0	1.77251250412535	1.77251250412535	1.77251250412535	1.77250789215055	1.77250789215055	0	0	0	0	0	288565.530054816	0	0	0	0	0	0	0	11515.9296726617	-9212.74089878723	-2303.18522469681	0	0	1	1	1	1	1	0	0	0	0	0	-0.0399076068412583	0.0319259923284571	0	0	0.00798149808211428	146611.263322286	288565.530054816	146611.263322286	288565.530054816	4.1931415732787	288565.530054816	0.0399076068412583	-0.0399076068412583	146611.263322286	3.66084006069579	0.0319259923284571	0.0319259923284571	146611.263322286	288565.530054816	-0.0319259923284571	0.915210015173947	0.00798149808211428	146611.263322286	288565.530054816	-0.00798149808211428	0	0	288.150749751551	288.150749751551	288.150749751551	146611.263322286	288565.530054816	288.150749751551	146611.263322286	288565.530054816	288565.530054816	288565.530054816	288565.530054816	0.0399076068412583	-0.0319259923284571	-0.00798149808211428	146611.263322286	146611.263322286	146611.263322286	146611.263322286	146611.263322286	146611.263322286	146611.263322286	146611.263322286	146611.263322286	146611.263322286
	0.6	288.150115782091	146611.321370599	-0.00247349051199339	0.237300960291916	0.000578141699406842	1.808424711369E-08	1.80842471136922E-05	-1.77404648068473	-2.484064962062	0.0289651159	287.051224952979	15	1	2.41797589620241	2	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0319260536493644	0	0	0	0	7.85398163397448E-05	-4.19313701417479	0	0	0.0165045421704287	2.09524419495416	53388.6786294007	53388.6786294006	0.0399075851459527	0	288.15	288.15	7.85398163397448E-05	-3.6608446197997	0	0	0.0180117509821409	1.49075022090356	46611.3213705994	46611.3213705994	0	288.150115782091	288.150115782091	1.96349540849362E-05	-0.915211154949924	0	0	0.00454411293378913	1.49075022090356	46611.3213705994	46611.3213705994	0.00798151341234111	0	288.150112482164	288.150112482164	0.000578141699406842	364.873557381603	0	0	0.0483597586204941	0.00177251249370591	1E+060	1E+060	1E+060	1E+060	1E+060	1.808424711369E-08	0.0289651159	287.051224952979	15.0001157820906	1	1.77251249370591	1.46611321370599	205851.049669465	0	0	0	0	0	1.77251320592247	1.77251320592247	1.77251320592247	1.77251249370591	1.77251249370591	0	0	0	0	0	288564.893375057	0	0	0	0	0	0	0	11515.9234121607	-9212.73826721519	-2303.1845668038	0	0	1	1	1	1	1	0	0	0	0	0	-0.0399075851459527	0.0319260536493644	0	0	0.00798151341234111	146611.321370599	288564.893375057	146611.321370599	288564.893375057	4.19313701417479	288564.893375057	0.0399075851459527	-0.0399075851459527	146611.321370599	3.6608446197997	0.0319260536493644	0.0319260536493644	146611.321370599	288564.893375057	-0.0319260536493644	0.915211154949924	0.00798151341234111	146611.321370599	288564.893375057	-0.00798151341234111	0	0	288.150115782091	288.150115782091	288.150115782091	146611.321370599	288564.893375057	288.150115782091	146611.321370599	288564.893375057	288564.893375057	288564.893375057	288564.893375057	0.0399075851459527	-0.0319260536493644	-0.00798151341234111	146611.321370599	146611.321370599	146611.321370599	146611.321370599	146611.321370599	146611.321370599	146611.321370599	146611.321370599	146611.321370599	146611.321370599
	0.7	288.150047449248	146611.327724392	-0.00101486389273074	0.0951303065167648	0.000231651111789688	7.39290097196E-09	7.39290097195866E-06	-0.727884623535185	-1.01920254710409	0.0289651159	287.051224952979	15	1	2.41797589620241	2	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0319260603026789	0	0	0	0	7.85398163397448E-05	-4.1931365151491	0	0	0.016504541188325	2.09524444353215	53388.6722756082	53388.6722756082	0.0399075827712496	0	288.15	288.15	7.85398163397448E-05	-3.66084511882539	0	0	0.0180117496837949	1.49075046948154	46611.3277243918	46611.3277243918	0	288.150047449248	288.150047449248	1.96349540849362E-05	-0.915211279706346	0	0	0.00454411256522697	1.49075046948154	46611.3277243918	46611.3277243918	0.00798151507566972	0	288.15004609689	288.15004609689	0.000231651111789688	364.873572850913	0	0	0.0483597586204941	0.00177251299086188	1E+060	1E+060	1E+060	1E+060	1E+060	7.39290097196E-09	0.0289651159	287.051224952979	15.0000474492477	1	1.77251299086188	1.46611327724392	205851.000659518	0	0	0	0	0	1.77251328273906	1.77251328273906	1.77251328273906	1.77251299086188	1.77251299086188	0	0	0	0	0	288564.824750083	0	0	0	0	0	0	0	11515.922726905	-9212.73799620313	-2303.18449905078	0	0	1	1	1	1	1	0	0	0	0	0	-0.0399075827712496	0.0319260603026789	0	0	0.00798151507566972	146611.327724392	288564.824750083	146611.327724392	288564.824750083	4.1931365151491	288564.824750083	0.0399075827712496	-0.0399075827712496	146611.327724392	3.66084511882539	0.0319260603026789	0.0319260603026789	146611.327724392	288564.824750083	-0.0319260603026789	0.915211279706346	0.00798151507566972	146611.327724392	288564.824750083	-0.00798151507566972	0	0	288.150047449248	288.150047449248	288.150047449248	146611.327724392	288564.824750083	288.150047449248	146611.327724392	288564.824750083	288564.824750083	288564.824750083	288564.824750083	0.0399075827712496	-0.0319260603026789	-0.00798151507566972	146611.327724392	146611.327724392	146611.327724392	146611.327724392	146611.327724392	146611.327724392	146611.327724392	146611.327724392	146611.327724392	146611.327724392
	0.8	288.150018374936	146611.3304105	-0.000393190332578144	0.0365196768672687	8.89107377588516E-05	2.8601719812E-09	2.86017198120048E-06	-0.282005497263092	-0.394871263869318	0.0289651159	287.051224952979	15	1	2.41797589620241	2	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0319260631257248	0	0	0	0	7.85398163397448E-05	-4.19313630418265	0	0	0.016504540773134	2.09524454919271	53388.6695895001	53388.6695895001	0.039907581767328	0	288.15	288.15	7.85398163397448E-05	-3.66084532979183	0	0	0.0180117491290925	1.49075057514211	46611.3304104999	46611.3304104999	0	288.150018374936	288.150018374936	1.96349540849362E-05	-0.915211332447957	0	0	0.00454411240790231	1.49075057514211	46611.3304104999	46611.3304104999	0.00798151578143119	0	288.15001785123	288.15001785123	8.89107377588516E-05	364.873579389732	0	0	0.0483597586204941	0.00177251320218301	1E+060	1E+060	1E+060	1E+060	1E+060	2.8601719812E-09	0.0289651159	287.051224952979	15.0000183749363	1	1.77251320218301	1.466113304105	205850.979806727	0	0	0	0	0	1.77251331521378	1.77251331521378	1.77251331521378	1.77251320218301	1.77251320218301	0	0	0	0	0	288564.795551476	0	0	0	0	0	0	0	11515.9224372086	-9212.73787863829	-2303.18446965957	0	0	1	1	1	1	1	0	0	0	0	0	-0.039907581767328	0.0319260631257248	0	0	0.00798151578143119	146611.3304105	288564.795551476	146611.3304105	288564.795551476	4.19313630418265	288564.795551476	0.039907581767328	-0.039907581767328	146611.3304105	3.66084532979183	0.0319260631257248	0.0319260631257248	146611.3304105	288564.795551476	-0.0319260631257248	0.915211332447957	0.00798151578143119	146611.3304105	288564.795551476	-0.00798151578143119	0	0	288.150018374936	288.150018374936	288.150018374936	146611.3304105	288564.795551476	288.150018374936	146611.3304105	288564.795551476	288564.795551476	288564.795551476	288564.795551476	0.039907581767328	-0.0319260631257248	-0.00798151578143119	146611.3304105	146611.3304105	146611.3304105	146611.3304105	146611.3304105	146611.3304105	146611.3304105	146611.3304105	146611.3304105	146611.3304105
	0.9	288.150009758986	146611.3312052	-0.000208882350893962	0.0192929210320074	4.69646570309124E-05	1.51815876537E-09	1.51815876536787E-06	-0.149815410815583	-0.209775345510752	0.0289651159	287.051224952979	15	1	2.41797589620241	2	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0289651159	287.051224952979	15	1	1.2089879481012	1	205850.966627784	0.0319260639617227	0	0	0	0	7.85398163397448E-05	-4.19313624176706	0	0	0.0165045406502975	2.09524458049651	53388.6687948001	53388.6687948001	0.0399075814703122	0	288.15	288.15	7.85398163397448E-05	-3.66084539220742	0	0	0.0180117489645383	1.49075060644591	46611.3312051999	46611.3312051999	0	288.150009758986	288.150009758986	1.96349540849362E-05	-0.915211348051855	0	0	0.00454411236124193	1.49075060644591	46611.3312051999	46611.3312051999	0.00798151599043068	0	288.150009480844	288.150009480844	4.69646570309124E-05	364.873581324207	0	0	0.0483597586204941	0.00177251326479061	1E+060	1E+060	1E+060	1E+060	1E+060	1.51815876537E-09	0.0289651159	287.051224952979	15.0000097589862	1	1.77251326479061	1.466113312052	205850.973627162	0	0	0	0	0	1.77251332482161	1.77251332482161	1.77251332482161	1.77251326479061	1.77251326479061	0	0	0	0	0	288564.786898692	0	0	0	0	0	0	0	11515.9223515003	-9212.73784362852	-2303.18446090713	0	0	1	1	1	1	1	0	0	0	0	0	-0.0399075814703122	0.0319260639617227	0	0	0.00798151599043068	146611.3312052	288564.786898692	146611.3312052	288564.786898692	4.19313624176706	288564.786898692	0.0399075814703122	-0.0399075814703122	146611.3312052	3.66084539220742	0.0319260639617227	0.0319260639617227	146611.3312052	288564.786898692	-0.0319260639617227	0.915211348051855	0.00798151599043068	146611.3312052	288564.786898692	-0.00798151599043068	0	0	288.150009758986	288.150009758986	288.150009758986	146611.3312052	288564.786898692	288.150009758986	146611.3312052	288564.786898692	288564.786898692	288564.786898692	288564.786898692	0.0399075814703122	-0.0319260639617227	-0.00798151599043068	146611.3312052	146611.3312052	146611.3312052	146611.3312052	146611.3312052	146611.3312052	146611.3312052	146611.3312052	146611.3312052	146611.3312052
