time,volume.medium.T,volume.medium.p,der(volume.medium.T),der(volume.medium.p),der(volume.U)
0,288.15,100000,5209.93346505925,6325674.59003858,15760.6520729508
0.1,291.843118389705,146272.82638708,-80.4604612895555,7383.41045329842,17.9607827172868
0.2,288.577317164913,146572.060797863,-9.16739829614437,841.984729273652,2.04925318474852
0.3,288.200408153585,146606.69750825,-1.07945803665541,99.2166202909584,0.241494341047655
0.4,288.156150208067,146610.767845046,-0.131749540747548,11.9702173942966,0.0291282084990598
0.5,288.150749751551,146611.263322286,-0.0160611142239687,1.45854688499456,0.00354917768072482
0.6,288.150115782091,146611.321370599,-0.00247349051199339,0.237300960291916,0.000578141699406842
0.7,288.150047449248,146611.327724392,-0.00101486389273074,0.0951303065167648,0.000231651111789688
0.8,288.150018374936,146611.3304105,-0.000393190332578144,0.0365196768672687,8.89107377588516E-05
0.9,288.150009758986,146611.3312052,-0.000208882350893962,0.0192929210320074,4.69646570309124E-05
1,288.150005179624,146611.331626711,-0.000110869853354252,0.0102315102994989,2.49060376518173E-05
1.1,288.150002007594,146611.331918673,-4.29780243770573E-05,0.0039559254073244,9.62914646152058E-06
1.2,288.150001616203,146611.33195467,-3.45992824630832E-05,0.00318463755754222,7.75174567024806E-06
1.3,288.150001224813,146611.331990666,-2.62205446381467E-05,0.00241334880248461,5.87434260523878E-06
1.4,288.150000833423,146611.332026663,-1.7841800730579E-05,0.00164206661328759,3.99695591113414E-06
1.5,288.150000442033,146611.332062659,-9.46306055890181E-06,0.000870779680900572,2.11955739359837E-06
1.6,288.150000176919,146611.332087042,-3.78758197334363E-06,0.000348349085854708,8.47903720568866E-07
1.7,288.150000159447,146611.332088649,-3.41354066549316E-06,0.000313944151205744,7.64159722166369E-07
1.8,288.150000141976,146611.332090255,-3.03950078401322E-06,0.000279542508467412,6.80423909216188E-07
1.9,288.150000124504,146611.332091862,-2.66545574341043E-06,0.00024514176892918,5.96690370002762E-07
2,288.150000107032,146611.332093469,-2.2914103956578E-06,0.000210741759666294,5.12958649778739E-07
2.1,288.150000089561,146611.332095075,-1.91736811601462E-06,0.000176338467570237,4.292187441024E-07
2.2,288.150000072089,146611.332096682,-1.54332465790259E-06,0.000141938644847913,3.45487478625728E-07
2.3,288.150000054617,146611.332098289,-1.16928298842568E-06,0.000107537912118742,2.61753939412301E-07
2.4,288.150000037146,146611.332099895,-7.95241988575907E-07,7.31322471975191E-05,1.78008122020401E-07
2.5,288.150000019674,146611.332101502,-4.21195160082503E-07,3.87324176688337E-05,9.42768565437291E-08
2.6,288.150000008025,146611.332102573,-1.71806081922485E-07,1.57944585376161E-05,3.84443410439417E-08
2.7,288.150000007626,146611.33210261,-1.63265492268537E-07,1.50123276936358E-05,3.65407686331309E-08
2.8,288.150000007227,146611.332102646,-1.54725773933662E-07,1.42274577512674E-05,3.46303750120569E-08
2.9,288.150000006828,146611.332102683,-1.46186055598842E-07,1.34425878088991E-05,3.27199813909829E-08
3,288.15000000643,146611.33210272,-1.3764664452027E-07,1.26569875915724E-05,3.08077687805053E-08
3.1,288.150000006031,146611.332102756,-1.2910707753424E-07,1.18737624697412E-05,2.89014678855892E-08
3.2,288.150000005632,146611.332102793,-1.20570427202677E-07,1.10856096938183E-05,2.69828888121992E-08
3.3,288.150000005233,146611.33210283,-1.12030708868079E-07,1.03007397514509E-05,2.50724951911252E-08
3.4,288.150000004834,146611.332102866,-1.03490632827785E-07,9.51605181053018E-06,2.31625563174021E-08
3.5,288.150000004435,146611.332102903,-9.49498918256008E-08,8.73227614601487E-06,2.12548911804333E-08
3.6,288.150000004036,146611.33210294,-8.64130855867453E-08,7.94649846558819E-06,1.93422238226049E-08
3.7,288.150000003637,146611.332102976,-7.78753116886436E-08,7.15834342049364E-06,1.74236447492149E-08
3.8,288.150000003239,146611.332103013,-6.93323235529948E-08,6.37456321763356E-06,1.55159796122462E-08
3.9,288.15000000284,146611.33210305,-6.07949028019204E-08,5.59024608712493E-06,1.36069502332248E-08
4,288.150000002441,146611.332103086,-5.22537031951427E-08,4.80555587703272E-06,1.16970113595016E-08
4.1,288.150000002042,146611.332103123,-4.371802052338E-08,4.01978046577975E-06,9.78434400167316E-09
4.2,288.150000001643,146611.33210316,-3.51772795215843E-08,3.23600480126587E-06,7.87667886470445E-09
4.3,288.150000001244,146611.332103196,-2.66391983676226E-08,2.44858003113125E-06,5.959918780718E-09
4.4,288.150000000845,146611.332103233,-1.81000945460197E-08,1.66224953884857E-06,4.04588718083687E-09
4.5,288.150000000447,146611.33210327,-9.56149977890263E-09,8.7738186565624E-07,2.13549355976284E-09
4.6,288.150000000185,146611.332103294,-3.95332498876067E-09,3.64661198557918E-07,8.87666828930378E-10
4.7,288.15000000018,146611.332103294,-3.85272214745423E-09,3.57879960041003E-07,8.71295924298465E-10
4.8,288.150000000176,146611.332103295,-3.75728309419089E-09,3.46175605777612E-07,8.42646841192618E-10
4.9,288.150000000171,146611.332103295,-3.65862013032316E-09,3.4012918056482E-07,8.28094925964251E-10
5,288.150000000166,146611.332103296,-3.56016808236495E-09,3.28236017336827E-07,7.98991095507518E-10
5.1,288.150000000162,146611.332103296,-3.46406406715697E-09,3.17443939478669E-07,7.72615749156103E-10
5.2,288.150000000157,146611.332103296,-3.36524975461088E-09,3.09752693729219E-07,7.53971107769758E-10
5.3,288.150000000153,146611.332103297,-3.26516052657076E-09,3.00414358270414E-07,7.31233740225434E-10
5.4,288.150000000148,146611.332103297,-3.16532354632797E-09,2.93817390372703E-07,7.15317582944408E-10
5.5,288.150000000143,146611.332103298,-3.06656424217719E-09,2.82654502103434E-07,6.8803274189122E-10
5.6,288.150000000139,146611.332103298,-2.96820853450212E-09,2.75877801931917E-07,6.71661837259308E-10
5.7,288.150000000134,146611.332103299,-2.87409940512817E-09,2.62348894858064E-07,6.38465280644596E-10
5.8,288.15000000013,146611.332103299,-2.7717080350615E-09,2.56477663573679E-07,6.24368112767115E-10
5.9,288.150000000125,146611.332103299,-2.67304963002968E-09,2.46411322328849E-07,5.99811755819246E-10
6,288.15000000012,146611.3321033,-2.57520753562091E-09,2.37077525215443E-07,5.77074388274923E-10
6.1,288.150000000116,146611.3321033,-2.47491195050718E-09,2.295660117398E-07,5.58884494239464E-10
6.2,288.150000000111,146611.332103301,-2.37839977998775E-09,2.18407661815931E-07,5.31599653186277E-10
6.3,288.150000000107,146611.332103301,-2.27779693868144E-09,2.11626423299015E-07,5.15228748554364E-10
6.4,288.150000000102,146611.332103302,-2.18235788541821E-09,1.99922069035626E-07,4.86579665448517E-10
6.5,288.150000000097,146611.332103302,-2.07950791048061E-09,1.9313629217331E-07,4.70208760816604E-10
6.6,288.150000000093,146611.332103302,-1.9837616010248E-09,1.82162212868647E-07,4.43378667114303E-10
6.7,288.150000000088,146611.332103303,-1.88331466723273E-09,1.73005878856348E-07,4.21096046920866E-10
6.8,288.150000000083,146611.332103303,-1.78450035468676E-09,1.65314633106899E-07,4.02451405534521E-10
6.9,288.150000000079,146611.332103304,-1.68798818416738E-09,1.54156283183031E-07,3.75166564481333E-10
7,288.150000000074,146611.332103304,-1.58917387162143E-09,1.46465037433582E-07,3.56521923094988E-10
7.1,288.15000000007,146611.332103304,-1.48836923207732E-09,1.37490704867789E-07,3.34694050252438E-10
7.2,288.150000000065,146611.332103305,-1.38924766333878E-09,1.30529734077066E-07,3.17868398269638E-10
7.3,288.15000000006,146611.332103305,-1.28931434281303E-09,1.18816303122879E-07,2.89219315163791E-10
7.4,288.150000000056,146611.332103306,-1.1949942975297E-09,1.1113413406423E-07,2.70574673777446E-10
7.5,288.150000000051,146611.332103306,-1.09878938320297E-09,9.92455091816353E-08,2.41470843320712E-10
7.6,288.150000000047,146611.332103307,-9.97370231273698E-10,9.17317265332934E-08,2.23280949285254E-10
7.7,288.150000000042,146611.332103307,-8.96973747041161E-10,8.31236660332137E-08,2.02362571144477E-10
7.8,288.150000000037,146611.332103307,-7.97650380064818E-10,7.3969601193615E-08,1.8007995095104E-10
7.9,288.150000000033,146611.332103308,-6.99959634334577E-10,6.62806246168665E-08,1.61435309564695E-10
8,288.150000000028,146611.332103308,-6.00636267358248E-10,5.71265597772679E-08,1.39152689371258E-10
8.1,288.150000000024,146611.332103309,-5.0167060613399E-10,4.77904934911625E-08,1.16415321826935E-10
8.2,288.150000000019,146611.332103309,-4.05924296678295E-10,3.68164141865001E-08,8.95852281246334E-11
8.3,288.150000000014,146611.33210331,-3.08747164214361E-10,2.65703406678632E-08,6.45741238258779E-11
8.4,288.15000000001,146611.33210331,-2.084515791008E-10,1.90588271922215E-08,4.63842297904193E-11
8.5,288.150000000005,146611.33210331,-1.08820955931908E-10,1.06350373113482E-08,2.59205990005285E-11
8.6,288.150000000002,146611.332103311,-4.68275416692916E-11,4.29722273194015E-09,1.04591890703887E-11
8.7,288.150000000002,146611.332103311,-4.50390129089822E-11,5.20722996447198E-09,1.2732925824821E-11
8.8,288.150000000002,146611.332103311,-4.50390129089822E-11,5.20722996447198E-09,1.2732925824821E-11
8.9,288.150000000002,146611.332103311,-4.32504841486727E-11,6.1172371970038E-09,1.50066625792533E-11
9,288.150000000002,146611.332103311,-4.32504841486727E-11,6.1172371970038E-09,1.50066625792533E-11
9.1,288.150000000002,146611.332103311,-3.9879783701731E-11,6.11042967890418E-09,1.50066625792533E-11
9.2,288.150000000002,146611.332103311,-3.9879783701731E-11,6.11042967890418E-09,1.50066625792533E-11
9.3,288.150000000002,146611.332103311,-3.9879783701731E-11,6.11042967890417E-09,1.50066625792533E-11
